iter	Passed	Remaining
0	142	142724
1	147	73808
2	154	51414
3	159	39701
4	165	32962
5	176	29246
6	182	25844
7	187	23290
8	193	21306
9	199	19720
10	205	18467
11	209	17258
12	214	16320
13	220	15562
14	226	14869
15	231	14267
16	237	13719
17	242	13248
18	248	12841
19	254	12474
20	260	12161
21	266	11854
22	272	11595
23	278	11345
24	283	11063
25	289	10831
26	294	10605
27	299	10404
28	305	10232
29	310	10032
30	317	9934
31	322	9763
32	327	9589
33	333	9462
34	339	9365
35	346	9268
36	351	9147
37	356	9036
38	362	8940
39	368	8847
40	374	8754
41	379	8646
42	384	8561
43	390	8489
44	396	8412
45	402	8350
46	407	8269
47	413	8206
48	418	8121
49	423	8052
50	428	7979
51	434	7919
52	439	7857
53	445	7801
54	450	7747
55	456	7689
56	461	7633
57	467	7590
58	473	7544
59	479	7505
60	485	7471
61	489	7410
62	494	7357
63	500	7323
64	505	7278
65	511	7241
66	517	7204
67	522	7162
68	527	7123
69	532	7079
70	538	7041
71	543	7005
72	548	6963
73	554	6936
74	558	6888
75	563	6853
76	568	6814
77	573	6774
78	579	6751
79	584	6718
80	589	6693
81	595	6662
82	600	6632
83	605	6605
84	611	6579
85	616	6549
86	621	6517
87	626	6493
88	631	6468
89	637	6441
90	641	6409
91	647	6391
92	653	6372
93	658	6346
94	663	6324
95	668	6297
96	675	6286
97	681	6273
98	687	6259
99	693	6239
100	698	6216
101	703	6191
102	708	6168
103	713	6147
104	716	6108
105	722	6095
106	727	6074
107	732	6051
108	737	6030
109	742	6009
110	747	5989
111	752	5966
112	756	5941
113	761	5921
114	767	5906
115	772	5889
116	778	5874
117	784	5865
118	790	5850
119	795	5831
120	800	5813
121	806	5806
122	812	5795
123	819	5792
124	825	5778
125	831	5766
126	837	5756
127	843	5746
128	848	5732
129	854	5715
130	859	5699
131	864	5684
132	869	5671
133	875	5655
134	880	5642
135	886	5630
136	892	5621
137	897	5607
138	903	5594
139	908	5581
140	913	5566
141	919	5557
142	925	5544
143	930	5528
144	934	5512
145	940	5498
146	945	5487
147	951	5478
148	956	5463
149	961	5448
150	967	5437
151	972	5425
152	977	5413
153	983	5403
154	989	5396
155	995	5385
156	1001	5376
157	1006	5365
158	1011	5352
159	1017	5342
160	1023	5332
161	1028	5320
162	1033	5308
163	1038	5294
164	1044	5283
165	1049	5271
166	1054	5260
167	1060	5252
168	1065	5241
169	1071	5229
170	1076	5219
171	1082	5212
172	1088	5202
173	1093	5191
174	1098	5179
175	1104	5169
176	1109	5159
177	1114	5148
178	1120	5137
179	1125	5127
180	1131	5120
181	1136	5108
182	1142	5102
183	1149	5098
184	1155	5090
185	1159	5074
186	1165	5065
187	1170	5054
188	1175	5043
189	1180	5033
190	1187	5027
191	1192	5019
192	1198	5010
193	1203	4998
194	1208	4988
195	1213	4979
196	1218	4967
197	1224	4960
198	1229	4950
199	1235	4940
200	1240	4932
201	1245	4921
202	1250	4911
203	1256	4902
204	1261	4893
205	1267	4884
206	1273	4877
207	1279	4871
208	1284	4862
209	1290	4855
210	1296	4848
211	1302	4842
212	1308	4834
213	1315	4830
214	1321	4825
215	1328	4822
216	1334	4813
217	1339	4806
218	1346	4802
219	1352	4796
220	1359	4793
221	1366	4789
222	1373	4784
223	1379	4777
224	1385	4773
225	1393	4772
226	1399	4765
227	1405	4759
228	1411	4753
229	1418	4749
230	1425	4745
231	1432	4741
232	1438	4735
233	1444	4729
234	1451	4724
235	1457	4717
236	1463	4712
237	1469	4704
238	1475	4698
239	1483	4697
240	1490	4694
241	1496	4687
242	1502	4679
243	1507	4669
244	1513	4662
245	1519	4658
246	1526	4652
247	1531	4644
248	1537	4636
249	1543	4631
250	1549	4623
251	1554	4614
252	1560	4606
253	1565	4597
254	1571	4591
255	1577	4585
256	1584	4582
